Gene stable ID	Gene stable ID version	Gene name	Gene description	Chromosome/scaffold name
ENSG00000290111	ENSG00000290111.1		novel transcript, antisense to SMAP2	1
ENSG00000284677	ENSG00000284677.1		novel transcript	1
ENSG00000187801	ENSG00000187801.15	ZFP69B	ZFP69 zinc finger protein B [Source:HGNC Symbol;Acc:HGNC:28053]	1
ENSG00000260920	ENSG00000260920.2		novel transcript, sense overlapping with ZNF643	1
ENSG00000279667	ENSG00000279667.1		TEC	1
ENSG00000187815	ENSG00000187815.10	ZFP69	ZFP69 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:24708]	1
ENSG00000238287	ENSG00000238287.2	EXO5-DT	EXO5 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55647]	1
ENSG00000164002	ENSG00000164002.12	EXO5	exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:26115]	1
ENSG00000227278	ENSG00000227278.2		novel transcript	1
ENSG00000238186	ENSG00000238186.1		novel transcript	1
ENSG00000117010	ENSG00000117010.17	ZNF684	zinc finger protein 684 [Source:HGNC Symbol;Acc:HGNC:28418]	1
ENSG00000308470	ENSG00000308470.1		novel transcript	1
ENSG00000286838	ENSG00000286838.1		novel transcript	1
ENSG00000236505	ENSG00000236505.1		novel pseudogene	1
ENSG00000233910	ENSG00000233910.1	GTF2F2P2	general transcription factor IIF subunit 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39092]	1
ENSG00000117016	ENSG00000117016.10	RIMS3	regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]	1
ENSG00000287743	ENSG00000287743.2		novel transcript, antisense to RIMS3	1
ENSG00000272145	ENSG00000272145.3	NFYC-AS1	NFYC antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49451]	1
ENSG00000066136	ENSG00000066136.21	NFYC	nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806]	1
ENSG00000198974	ENSG00000198974.3	MIR30E	microRNA 30e [Source:HGNC Symbol;Acc:HGNC:31629]	1
ENSG00000207962	ENSG00000207962.1	MIR30C1	microRNA 30c-1 [Source:HGNC Symbol;Acc:HGNC:31626]	1
ENSG00000117013	ENSG00000117013.17	KCNQ4	potassium voltage-gated channel subfamily Q member 4 [Source:HGNC Symbol;Acc:HGNC:6298]	1
ENSG00000264582	ENSG00000264582.2	RN7SL326P	RNA, 7SL, cytoplasmic 326, pseudogene [Source:HGNC Symbol;Acc:HGNC:46342]	1
ENSG00000295513	ENSG00000295513.1		novel transcript	1
ENSG00000295492	ENSG00000295492.1		novel transcript	1
ENSG00000179862	ENSG00000179862.7	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4 [Source:HGNC Symbol;Acc:HGNC:18696]	1
ENSG00000229528	ENSG00000229528.1		novel transcript	1
ENSG00000308047	ENSG00000308047.1		novel transcript	1
ENSG00000308065	ENSG00000308065.1		novel transcript	1
ENSG00000301041	ENSG00000301041.1		novel transcript, antisense to CTPS1	1
ENSG00000228940	ENSG00000228940.1		protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform (PPP2CA) pseudogene	1
ENSG00000286668	ENSG00000286668.1		novel transcript	1
ENSG00000233118	ENSG00000233118.2	UBE2V1P8	UBE2V1 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:44893]	1
ENSG00000171793	ENSG00000171793.17	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	1
ENSG00000281207	ENSG00000281207.1	SLFNL1-AS1	SLFNL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44126]	1
ENSG00000171790	ENSG00000171790.16	SLFNL1	schlafen like 1 [Source:HGNC Symbol;Acc:HGNC:26313]	1
ENSG00000010803	ENSG00000010803.18	SCMH1	Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]	1
ENSG00000215893	ENSG00000215893.3	RPL23AP17	ribosomal protein L23a pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:35904]	1
ENSG00000235358	ENSG00000235358.3	SCMH1-DT	SCMH1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55675]	1
ENSG00000213987	ENSG00000213987.4	RPL36AP9	ribosomal protein L36a pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:35872]	1
ENSG00000310187	ENSG00000310187.1		novel transcript	1
ENSG00000291157	ENSG00000291157.1		novel transcript	1
ENSG00000286640	ENSG00000286640.3		SET domain and mariner transposase fusion gene (SETMAR) pseudogene	1
ENSG00000204060	ENSG00000204060.8	FOXO6	forkhead box O6 [Source:HGNC Symbol;Acc:HGNC:24814]	1
ENSG00000229901	ENSG00000229901.1	FOXO6-AS1	FOXO6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41066]	1
ENSG00000309993	ENSG00000309993.1		novel transcript	1
ENSG00000299990	ENSG00000299990.1		novel transcript	1
ENSG00000252563	ENSG00000252563.1	RNA5SP45	RNA, 5S ribosomal pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:42821]	1
ENSG00000127129	ENSG00000127129.10	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	1
ENSG00000295052	ENSG00000295052.1		novel transcript, antisense to HIVEP3	1
ENSG00000127124	ENSG00000127124.16	HIVEP3	HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561]	1
ENSG00000230881	ENSG00000230881.1		novel transcript	1
ENSG00000230638	ENSG00000230638.4		novel pseudogene	1
ENSG00000284895	ENSG00000284895.1		novel protein	1
ENSG00000287587	ENSG00000287587.1		novel transcript	1
ENSG00000227538	ENSG00000227538.1	HNRNPFP1	heterogeneous nuclear ribonucleoprotein F pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48812]	1
ENSG00000307448	ENSG00000307448.1		novel transcript	1
ENSG00000228776	ENSG00000228776.2		ribosomal protein L21 (RPL21) pseudogene	1
ENSG00000044012	ENSG00000044012.4	GUCA2B	guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]	1
ENSG00000197273	ENSG00000197273.4	GUCA2A	guanylate cyclase activator 2A [Source:HGNC Symbol;Acc:HGNC:4682]	1
ENSG00000198815	ENSG00000198815.9	FOXJ3	forkhead box J3 [Source:HGNC Symbol;Acc:HGNC:29178]	1
ENSG00000294990	ENSG00000294990.1		novel transcript, antisense to FOXJ3	1
ENSG00000227527	ENSG00000227527.2		novel transcript	1
ENSG00000177181	ENSG00000177181.15	RIMKLA	ribosomal modification protein rimK like family member A [Source:HGNC Symbol;Acc:HGNC:28725]	1
ENSG00000235002	ENSG00000235002.1		ribosomal protein S15 (RPS15) pseudogene	1
ENSG00000066185	ENSG00000066185.13	ZMYND12	zinc finger MYND-type containing 12 [Source:HGNC Symbol;Acc:HGNC:21192]	1
ENSG00000127125	ENSG00000127125.9	PPCS	phosphopantothenoylcysteine synthetase [Source:HGNC Symbol;Acc:HGNC:25686]	1
ENSG00000186409	ENSG00000186409.19	CCDC30	coiled-coil domain containing 30 [Source:HGNC Symbol;Acc:HGNC:26103]	1
ENSG00000230116	ENSG00000230116.1	RPS3AP11	RPS3A pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:36825]	1
ENSG00000236876	ENSG00000236876.3	TMSB4XP1	TMSB4X pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:11883]	1
ENSG00000200254	ENSG00000200254.1	RNU6-536P	RNA, U6 small nuclear 536, pseudogene [Source:HGNC Symbol;Acc:HGNC:47499]	1
ENSG00000285728	ENSG00000285728.4		novel transcript, antisense to PPIH	1
ENSG00000236180	ENSG00000236180.2		novel pseudogene	1
ENSG00000171960	ENSG00000171960.12	PPIH	peptidylprolyl isomerase H [Source:HGNC Symbol;Acc:HGNC:14651]	1
ENSG00000234917	ENSG00000234917.2		novel transcript	1
ENSG00000065978	ENSG00000065978.19	YBX1	Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]	1
ENSG00000164007	ENSG00000164007.11	CLDN19	claudin 19 [Source:HGNC Symbol;Acc:HGNC:2040]	1
ENSG00000117385	ENSG00000117385.16	P3H1	prolyl 3-hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:19316]	1
ENSG00000164008	ENSG00000164008.17	C1orf50	chromosome 1 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:28795]	1
ENSG00000283580	ENSG00000283580.4		novel protein	1
ENSG00000293683	ENSG00000293683.2	TMEM269-DT	TMEM269 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54423]	1
ENSG00000274386	ENSG00000274386.6	TMEM269	transmembrane protein 269 [Source:HGNC Symbol;Acc:HGNC:52381]	1
ENSG00000177868	ENSG00000177868.12	SVBP	small vasohibin binding protein [Source:HGNC Symbol;Acc:HGNC:29204]	1
ENSG00000164010	ENSG00000164010.15	ERMAP	erythroblast membrane associated protein (Scianna blood group) [Source:HGNC Symbol;Acc:HGNC:15743]	1
ENSG00000228192	ENSG00000228192.11	ZNF691-DT	ZNF691 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55800]	1
ENSG00000164011	ENSG00000164011.18	ZNF691	zinc finger protein 691 [Source:HGNC Symbol;Acc:HGNC:28028]	1
ENSG00000233708	ENSG00000233708.1		epidermodysplasia verruciformis 1 (EVER1) pseudogene	1
ENSG00000237090	ENSG00000237090.1	MKRN8P	makorin ring finger protein 8, pseudogene [Source:HGNC Symbol;Acc:HGNC:7120]	1
ENSG00000225099	ENSG00000225099.1	ATP6V1E1P1	ATPase H+ transporting V1 subunit E1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:859]	1
ENSG00000303995	ENSG00000303995.1		novel transcript	1
ENSG00000288955	ENSG00000288955.2		novel transcript, antisense to SLC2A1	1
ENSG00000117394	ENSG00000117394.24	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	1
ENSG00000284138	ENSG00000284138.1	ATP6V0CP4	ATPase H+ transporting V0 subunit c pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:40002]	1
ENSG00000227533	ENSG00000227533.8	SLC2A1-DT	SLC2A1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:44187]	1
ENSG00000283973	ENSG00000283973.3		novel transcript	1
ENSG00000298429	ENSG00000298429.1		novel transcript	1
ENSG00000207256	ENSG00000207256.1	RNU6-880P	RNA, U6 small nuclear 880, pseudogene [Source:HGNC Symbol;Acc:HGNC:47843]	1
ENSG00000283136	ENSG00000283136.1	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	1
ENSG00000310359	ENSG00000310359.1		novel transcript	1
ENSG00000277513	ENSG00000277513.1		zinc finger and SCAN domain containing 2 (ZSCAN2) pseudogene	1
ENSG00000300973	ENSG00000300973.1		novel transcript	1
ENSG00000186973	ENSG00000186973.11	CFAP144	cilia and flagella associated protein 144 [Source:HGNC Symbol;Acc:HGNC:34347]	1
ENSG00000117395	ENSG00000117395.13	EBNA1BP2	EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15531]	1
ENSG00000284410	ENSG00000284410.1	MIR6733	microRNA 6733 [Source:HGNC Symbol;Acc:HGNC:50239]	1
ENSG00000243710	ENSG00000243710.8	CFAP57	cilia and flagella associated protein 57 [Source:HGNC Symbol;Acc:HGNC:26485]	1
ENSG00000199240	ENSG00000199240.1	RNA5SP46	RNA, 5S ribosomal pseudogene 46 [Source:HGNC Symbol;Acc:HGNC:42822]	1
ENSG00000303581	ENSG00000303581.1		novel transcript, antisense to TMEM125 and CFAP57	1
ENSG00000179178	ENSG00000179178.11	TMEM125	transmembrane protein 125 [Source:HGNC Symbol;Acc:HGNC:28275]	1
ENSG00000253313	ENSG00000253313.6	C1orf210	chromosome 1 open reading frame 210 [Source:HGNC Symbol;Acc:HGNC:28755]	1
ENSG00000066056	ENSG00000066056.15	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]	1
ENSG00000117400	ENSG00000117400.18	MPL	MPL proto-oncogene, thrombopoietin receptor [Source:HGNC Symbol;Acc:HGNC:7217]	1
ENSG00000287113	ENSG00000287113.1		novel transcript, antisense to MPL	1
ENSG00000234694	ENSG00000234694.3	CDC20-DT	CDC20 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55681]	1
ENSG00000117399	ENSG00000117399.14	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1
ENSG00000066322	ENSG00000066322.15	ELOVL1	ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]	1
ENSG00000283836	ENSG00000283836.1	MIR6734	microRNA 6734 [Source:HGNC Symbol;Acc:HGNC:50219]	1
ENSG00000229431	ENSG00000229431.2	MED8-AS1	MED8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40908]	1
ENSG00000159479	ENSG00000159479.17	MED8	mediator complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:19971]	1
ENSG00000198198	ENSG00000198198.17	SZT2	SZT2 subunit of KICSTOR complex [Source:HGNC Symbol;Acc:HGNC:29040]	1
ENSG00000307543	ENSG00000307543.1		novel transcript, antisense to SZT2	1
ENSG00000229372	ENSG00000229372.1	SZT2-AS1	SZT2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41225]	1
ENSG00000274975	ENSG00000274975.1	MIR6735	microRNA 6735 [Source:HGNC Symbol;Acc:HGNC:50126]	1
ENSG00000178922	ENSG00000178922.18	HYI	hydroxypyruvate isomerase (putative) [Source:HGNC Symbol;Acc:HGNC:26948]	1
ENSG00000229348	ENSG00000229348.1	HYI-AS1	HYI antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41173]	1
ENSG00000142949	ENSG00000142949.18	PTPRF	protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]	1
ENSG00000066135	ENSG00000066135.13	KDM4A	lysine demethylase 4A [Source:HGNC Symbol;Acc:HGNC:22978]	1
ENSG00000284989	ENSG00000284989.1		novel transcript	1
ENSG00000236200	ENSG00000236200.8	KDM4A-AS1	KDM4A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40528]	1
ENSG00000126091	ENSG00000126091.21	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]	1
ENSG00000229444	ENSG00000229444.2	ST3GAL3-AS1	ST3GAL3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40529]	1
ENSG00000283414	ENSG00000283414.1	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	1
ENSG00000233674	ENSG00000233674.2		SMT3 suppressor of mif two 3 (yeast) family pseudogene	1
ENSG00000283477	ENSG00000283477.1	MIR6079	microRNA 6079 [Source:HGNC Symbol;Acc:HGNC:50114]	1
ENSG00000224751	ENSG00000224751.2	SHMT1P1	SHMT1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10851]	1
ENSG00000306755	ENSG00000306755.1		novel transcript, antisense to ST3GAL3	1
ENSG00000117407	ENSG00000117407.17	ARTN	artemin [Source:HGNC Symbol;Acc:HGNC:727]	1
ENSG00000237950	ENSG00000237950.4	LINC02918	long intergenic non-protein coding RNA 2918 [Source:HGNC Symbol;Acc:HGNC:55649]	1
ENSG00000117408	ENSG00000117408.11	IPO13	importin 13 [Source:HGNC Symbol;Acc:HGNC:16853]	1
ENSG00000285649	ENSG00000285649.2		novel transcript, antisense to DPH2 and ATP6V0B	1
ENSG00000132768	ENSG00000132768.14	DPH2	diphthamide biosynthesis 2 [Source:HGNC Symbol;Acc:HGNC:3004]	1
ENSG00000117410	ENSG00000117410.14	ATP6V0B	ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]	1
ENSG00000117411	ENSG00000117411.18	B4GALT2	beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]	1
ENSG00000159214	ENSG00000159214.13	CCDC24	coiled-coil domain containing 24 [Source:HGNC Symbol;Acc:HGNC:28688]	1
ENSG00000196517	ENSG00000196517.13	SLC6A9	solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056]	1
ENSG00000230615	ENSG00000230615.9		novel transcript	1
ENSG00000308853	ENSG00000308853.1		novel transcript	1
ENSG00000308838	ENSG00000308838.1		novel transcript	1
ENSG00000227163	ENSG00000227163.2		pseudogene similar to part of ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1 (ATP5G1)	1
ENSG00000271647	ENSG00000271647.1	KRT8P47	keratin 8 pseudogene 47 [Source:HGNC Symbol;Acc:HGNC:44461]	1
ENSG00000239560	ENSG00000239560.3	RN7SL479P	RNA, 7SL, cytoplasmic 479, pseudogene [Source:HGNC Symbol;Acc:HGNC:46495]	1
ENSG00000306803	ENSG00000306803.1		novel transcript	1
ENSG00000171872	ENSG00000171872.5	KLF17	KLF transcription factor 17 [Source:HGNC Symbol;Acc:HGNC:18830]	1
ENSG00000233514	ENSG00000233514.1		small nuclear ribonucleoprotein D1 polypeptide 16kDa (SNRPD1) pseudogene	1
ENSG00000283039	ENSG00000283039.1	KLF18	KLF transcription factor 18 [Source:HGNC Symbol;Acc:HGNC:51793]	1
ENSG00000226804	ENSG00000226804.4		zinc finger protein 146 (ZNF146) pseudogene	1
ENSG00000200171	ENSG00000200171.1	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	1
ENSG00000238037	ENSG00000238037.1	OOSP1P1	oocyte secreted protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49240]	1
ENSG00000227994	ENSG00000227994.1		pseudogene similar to part of novel protein DKFZP434H132	1
ENSG00000302536	ENSG00000302536.1		novel transcript, antisense to DMAP1	1
ENSG00000271329	ENSG00000271329.1		metaxin 3 (MTX3) pseudogene	1
ENSG00000178028	ENSG00000178028.14	DMAP1	DNA methyltransferase 1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18291]	1
ENSG00000117419	ENSG00000117419.16	ERI3	ERI1 exoribonuclease family member 3 [Source:HGNC Symbol;Acc:HGNC:17276]	1
ENSG00000233602	ENSG00000233602.1	ERI3-IT1	ERI3 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41431]	1
ENSG00000199385	ENSG00000199385.1	RNU6-369P	RNA, U6 small nuclear 369, pseudogene [Source:HGNC Symbol;Acc:HGNC:47332]	1
ENSG00000187147	ENSG00000187147.19	RNF220	ring finger protein 220 [Source:HGNC Symbol;Acc:HGNC:25552]	1
ENSG00000308471	ENSG00000308471.1		novel transcript, antisense to RNF220	1
ENSG00000263381	ENSG00000263381.1	MIR5584	microRNA 5584 [Source:HGNC Symbol;Acc:HGNC:43507]	1
ENSG00000126106	ENSG00000126106.14	TMEM53	transmembrane protein 53 [Source:HGNC Symbol;Acc:HGNC:26186]	1
ENSG00000198520	ENSG00000198520.12	ARMH1	armadillo like helical domain containing 1 [Source:HGNC Symbol;Acc:HGNC:34345]	1
ENSG00000302489	ENSG00000302489.1		novel transcript, antisense to C1orf228	1
ENSG00000199377	ENSG00000199377.2	RNU5F-1	RNA, U5F small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10216]	1
ENSG00000200169	ENSG00000200169.2	RNU5D-1	RNA, U5D small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10214]	1
ENSG00000142945	ENSG00000142945.13	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	1
ENSG00000225721	ENSG00000225721.5		novel transcript	1
ENSG00000299627	ENSG00000299627.1		novel transcript, antisense to RPS8	1
ENSG00000142937	ENSG00000142937.12	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	1
ENSG00000264294	ENSG00000264294.1	SNORD55	small nucleolar RNA, C/D box 55 [Source:HGNC Symbol;Acc:HGNC:10205]	1
ENSG00000200913	ENSG00000200913.1	SNORD46	small nucleolar RNA, C/D box 46 [Source:HGNC Symbol;Acc:HGNC:10186]	1
ENSG00000202031	ENSG00000202031.1	SNORD38A	small nucleolar RNA, C/D box 38A [Source:HGNC Symbol;Acc:HGNC:30355]	1
ENSG00000207421	ENSG00000207421.1	SNORD38B	small nucleolar RNA, C/D box 38B [Source:HGNC Symbol;Acc:HGNC:30356]	1
ENSG00000281859	ENSG00000281859.1	SNORD38B	small nucleolar RNA, C/D box 38B [Source:HGNC Symbol;Acc:HGNC:30356]	1
ENSG00000234093	ENSG00000234093.3	RPS15AP11	ribosomal protein S15a pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:36707]	1
ENSG00000142959	ENSG00000142959.6	BEST4	bestrophin 4 [Source:HGNC Symbol;Acc:HGNC:17106]	1
ENSG00000173846	ENSG00000173846.14	PLK3	polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]	1
ENSG00000188396	ENSG00000188396.4	DYNLT4	dynein light chain Tctex-type 4 [Source:HGNC Symbol;Acc:HGNC:32315]	1
ENSG00000290041	ENSG00000290041.2		novel transcript	1
ENSG00000222009	ENSG00000222009.10	BTBD19	BTB domain containing 19 [Source:HGNC Symbol;Acc:HGNC:27145]	1
ENSG00000117425	ENSG00000117425.15	PTCH2	patched 2 [Source:HGNC Symbol;Acc:HGNC:9586]	1
ENSG00000202444	ENSG00000202444.1	RNU5E-6P	RNA, U5E small nuclear 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:42522]	1
ENSG00000226499	ENSG00000226499.1		ribosomal protein S2 (RPS2) pseudogene	1
ENSG00000070785	ENSG00000070785.17	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]	1
ENSG00000253039	ENSG00000253039.1	RNA5SP47	RNA, 5S ribosomal pseudogene 47 [Source:HGNC Symbol;Acc:HGNC:42823]	1
ENSG00000229815	ENSG00000229815.1	CCNB1IP1P1	cyclin B1 interacting protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37693]	1
ENSG00000300507	ENSG00000300507.1		novel transcript, antisense to HECTD3 and EIF2B3	1
ENSG00000232369	ENSG00000232369.1	PPIAP35	peptidylprolyl isomerase A pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:53659]	1
ENSG00000268949	ENSG00000268949.1	MRPS17P1	mitochondrial ribosomal protein S17 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29734]	1
ENSG00000126107	ENSG00000126107.15	HECTD3	HECT domain E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:26117]	1
ENSG00000126088	ENSG00000126088.14	UROD	uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591]	1
ENSG00000162415	ENSG00000162415.7	ZSWIM5	zinc finger SWIM-type containing 5 [Source:HGNC Symbol;Acc:HGNC:29299]	1
ENSG00000303550	ENSG00000303550.1		novel transcript, antisense to ZSWIM5	1
ENSG00000234315	ENSG00000234315.1	OSTCP5	oligosaccharyltransferase complex subunit pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:42867]	1
ENSG00000281912	ENSG00000281912.1	LINC01144	long intergenic non-protein coding RNA 1144 [Source:HGNC Symbol;Acc:HGNC:49460]	1
ENSG00000186603	ENSG00000186603.7	HPDL	4-hydroxyphenylpyruvate dioxygenase like [Source:HGNC Symbol;Acc:HGNC:28242]	1
ENSG00000132781	ENSG00000132781.22	MUTYH	mutY DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7527]	1
ENSG00000288208	ENSG00000288208.1		novel protein	1
ENSG00000132773	ENSG00000132773.12	TOE1	target of EGR1, exonuclease [Source:HGNC Symbol;Acc:HGNC:15954]	1
ENSG00000070759	ENSG00000070759.17	TESK2	testis associated actin remodelling kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]	1
ENSG00000236872	ENSG00000236872.1	PPIAP36	peptidylprolyl isomerase A pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:53660]	1
ENSG00000280670	ENSG00000280670.3	CCDC163	CCDC163 homolog [Source:HGNC Symbol;Acc:HGNC:27003]	1
ENSG00000132763	ENSG00000132763.15	MMACHC	metabolism of cobalamin associated C [Source:HGNC Symbol;Acc:HGNC:24525]	1
ENSG00000117450	ENSG00000117450.15	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	1
ENSG00000298796	ENSG00000298796.1		novel transcript, antisense to PRDX1	1
ENSG00000234379	ENSG00000234379.1	HMGB1P48	high mobility group box 1 pseudogene 48 [Source:HGNC Symbol;Acc:HGNC:39281]	1
ENSG00000117448	ENSG00000117448.14	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]	1
ENSG00000289407	ENSG00000289407.2		novel transcript, antisense to NASP	1
ENSG00000132780	ENSG00000132780.17	NASP	nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]	1
ENSG00000159588	ENSG00000159588.15	CCDC17	coiled-coil domain containing 17 [Source:HGNC Symbol;Acc:HGNC:26574]	1
ENSG00000159592	ENSG00000159592.11	GPBP1L1	GC-rich promoter binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28843]	1
ENSG00000225447	ENSG00000225447.1	RPS15AP10	ribosomal protein S15a pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:37001]	1
ENSG00000306015	ENSG00000306015.1		novel transcript, antisense to GPBP1L1	1
ENSG00000234329	ENSG00000234329.1	RPL7AP16	ribosomal protein L7a pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:35898]	1
ENSG00000300481	ENSG00000300481.1		novel transcript	1
ENSG00000159596	ENSG00000159596.7	TMEM69	transmembrane protein 69 [Source:HGNC Symbol;Acc:HGNC:28035]	1
ENSG00000197429	ENSG00000197429.11	IPP	intracisternal A particle-promoted polypeptide [Source:HGNC Symbol;Acc:HGNC:6108]	1
ENSG00000230896	ENSG00000230896.1		novel transcript	1
ENSG00000302565	ENSG00000302565.1		novel transcript, antisense to IPP	1
ENSG00000236111	ENSG00000236111.5	RPL6P1	ribosomal protein L6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35972]	1
ENSG00000086015	ENSG00000086015.23	MAST2	microtubule associated serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:19035]	1
ENSG00000232467	ENSG00000232467.2	TMA16P2	translation machinery associated 16 homolog pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:43781]	1
ENSG00000117461	ENSG00000117461.15	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	1
ENSG00000278139	ENSG00000278139.1	P3R3URF-PIK3R3	P3R3URF-PIK3R3 readthrough [Source:HGNC Symbol;Acc:HGNC:54999]	1
ENSG00000226957	ENSG00000226957.1		novel transcript	1
ENSG00000233114	ENSG00000233114.2	COX7BP4	COX7B pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:56508]	1
ENSG00000227857	ENSG00000227857.3		novel transcript	1
ENSG00000298522	ENSG00000298522.1		novel transcript, sense intronic to RP4-533D7.6	1
ENSG00000117472	ENSG00000117472.10	TSPAN1	tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]	1
ENSG00000250719	ENSG00000250719.2	P3R3URF	PIK3R3 upstream open reading frame [Source:HGNC Symbol;Acc:HGNC:53451]	1
ENSG00000085998	ENSG00000085998.15	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) [Source:HGNC Symbol;Acc:HGNC:19139]	1
ENSG00000171357	ENSG00000171357.6	LURAP1	leucine rich adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:32327]	1
ENSG00000306746	ENSG00000306746.1		novel transcript	1
